code;value;year
DJI;5.2;2023
DJI;5.3;2022
DJI;5.2;2021
DJI;5.2;2020
DJI;5.1;2019
DMA;3.2;2018
DMA;3;2017
DMA;3;2016
DMA;2.8;2025
DMA;2.9;2024
DMA;2.9;2023
DMA;3;2022
DMA;2.9;2021
DMA;3.2;2020
DMA;3.2;2019
DNK;1.4;2018
DNK;1.3;2017
DNK;1.3;2016
DNK;1.4;2025
DNK;1.4;2024
DNK;1.4;2023
DNK;1.4;2022
DNK;1.4;2021
DNK;1.4;2020
DNK;1.4;2019
DOM;4.4;2018
DOM;4.3;2017
DOM;4.5;2016
DOM;4.3;2025
DOM;4.5;2024
DOM;4.6;2023
DOM;4.2;2022
DOM;4.3;2021
DOM;4.2;2020
DOM;4.4;2019
DZA;4.1;2018
DZA;4.1;2017
DZA;4;2016
DZA;3.5;2025
DZA;3.4;2024
DZA;3.6;2023
DZA;3.8;2022
DZA;3.8;2021
DZA;3.7;2020
DZA;3.9;2019
ECU;4.4;2018
ECU;4.5;2017
ECU;4.6;2016
ECU;5.4;2025
ECU;5.1;2024
ECU;5.2;2023
ECU;5;2022
ECU;4.7;2021
ECU;4.6;2020
ECU;4.5;2019
EGY;5;2018
EGY;4.9;2017
EGY;4.9;2016
EGY;4.3;2025
EGY;4.5;2024
EGY;4.8;2023
EGY;4.9;2022
EGY;4.9;2021
EGY;4.9;2020
EGY;5;2019
ERI;5;2018
ERI;5.4;2017
ERI;4.8;2016
ERI;4.8;2025
ERI;4.5;2024
ERI;5.3;2023
ERI;4.6;2022
ERI;4.6;2021
ERI;4.5;2020
ERI;4.8;2019
ESP;2.1;2018
ESP;2;2017
ESP;1.9;2016
ESP;2.6;2025
ESP;2.6;2024
ESP;2.5;2023
ESP;2.3;2022
ESP;2.4;2021
ESP;2.3;2020
ESP;2.3;2019
EST;1.9;2018
EST;2.1;2017
EST;2;2016
EST;1.9;2025
EST;1.9;2024
EST;1.9;2023
EST;1.8;2022
EST;1.8;2021
EST;1.8;2020
EST;1.9;2019
ETH;6.8;2018
ETH;6.7;2017
ETH;6.8;2016
ETH;7.1;2025
ETH;7.4;2024
ETH;7.4;2023
ETH;7.2;2022
ETH;6.8;2021
ETH;6.7;2020
ETH;6.8;2019
FIN;1.7;2018
FIN;1.6;2017
FIN;1.7;2016
FIN;1.9;2025
FIN;1.9;2024
FIN;1.9;2023
FIN;1.7;2022
FIN;1.7;2021
FIN;1.7;2020
FIN;1.6;2019
FJI;3.3;2018
FJI;3.4;2017
FJI;3.2;2016
FJI;3.3;2025
FJI;3.3;2024
FJI;3.3;2023
FJI;3.3;2022
FJI;3.2;2021
FJI;3.2;2020
FJI;3.2;2019
FRA;2.5;2018
FRA;2.8;2017
FRA;2.5;2016
FRA;2.7;2025
FRA;2.7;2024
FRA;2.5;2023
FRA;2.4;2022
FRA;2.4;2021
FRA;2.5;2020
FRA;2.5;2019
FSM;3.3;2018
FSM;3.4;2017
FSM;3.3;2016
FSM;3.4;2025
FSM;3.4;2024
FSM;3.1;2023
FSM;3.1;2022
FSM;3.2;2021
FSM;3.3;2020
FSM;3.3;2019
GAB;3.6;2018
GAB;3.8;2017
GAB;3.8;2016
GAB;3.7;2024
GAB;4;2025
GAB;3.7;2023
GAB;3.6;2022
GAB;3.6;2021
GAB;3.7;2020
GAB;3.7;2019
GBR;1.8;2018
GBR;1.8;2017
GBR;1.8;2016
GBR;2.1;2025
GBR;2.1;2024
GBR;2;2023
GBR;1.9;2022
GBR;2;2021
GBR;1.9;2020
GBR;1.9;2019
GEO;3.5;2018
GEO;3.5;2017
GEO;3.6;2016
GEO;3.4;2025
GEO;3.6;2024
GEO;3.4;2023
GEO;3.4;2022
GEO;3.4;2021
GEO;3.4;2020
GEO;3.4;2019
GHA;3.8;2018
GHA;3.7;2017
GHA;3.9;2016
GHA;4;2025
GHA;4;2024
GHA;3.9;2023
GHA;3.7;2022
GHA;3.7;2021
GHA;3.8;2020
GHA;3.8;2019
GIN;4.7;2018
GIN;4.7;2017
GIN;5;2016
GIN;4.9;2024
GIN;4.9;2025
GIN;4.9;2023
GIN;4.8;2022
GIN;5.1;2021
GIN;4.7;2020
GIN;4.6;2019
GMB;4.5;2018
GMB;4.3;2017
GMB;4.3;2016
GMB;4.2;2025
GMB;4.2;2024
GMB;4.2;2023
GMB;4.2;2022
GMB;4.1;2021
GMB;4.1;2020
GMB;4.1;2019
GNB;4.7;2018
GNB;4.7;2017
GNB;4.7;2016
GNB;4.3;2024
GNB;4.3;2025
GNB;4.3;2023
GNB;4.4;2022
GNB;4.4;2021
GNB;4.4;2020
GNB;4.5;2019
GNQ;3.2;2018
GNQ;3.2;2017
GNQ;3.2;2016
GNQ;3.4;2024
GNQ;3.4;2025
GNQ;3.4;2023
GNQ;3.4;2022
GNQ;3.2;2021
GNQ;3.2;2020
GNQ;3.2;2019
GRC;3;2018
GRC;3;2017
GRC;2.9;2016
GRC;3.2;2024
GRC;3;2025
GRC;3.1;2023
GRC;3;2022
GRC;3.1;2021
GRC;3.2;2020
GRC;3.2;2019
GRD;2;2018
GRD;2.1;2017
GRD;2.1;2016
GRD;2.6;2025
GRD;2;2024
GRD;2.3;2023
GRD;2.4;2022
GRD;2.4;2021
GRD;2.1;2020
GRD;2.1;2019
GTM;4.8;2018
GTM;4.8;2017
GTM;5.1;2016
GTM;5.3;2025
GTM;5.1;2024
GTM;5.1;2023
GTM;5;2022
GTM;5;2021
GTM;5;2020
GTM;5.1;2019
GUY;3.7;2018
GUY;4;2017
GUY;4.1;2016
GUY;3.9;2025
GUY;3.9;2024
GUY;3.9;2023
GUY;4.1;2022
GUY;3.9;2021
GUY;3.9;2020
GUY;4.1;2019
HND;4.9;2018
HND;5.3;2017
HND;5.4;2016
HND;5.5;2024
HND;5.8;2025
HND;5.5;2023
HND;5.4;2022
HND;5.3;2021
HND;5.1;2020
HND;5;2019
HRV;2.5;2018
HRV;2.8;2017
HRV;2.8;2016
HRV;2.5;2024
HRV;2.5;2025
HRV;2.5;2023
HRV;2.3;2022
HRV;2.6;2021
HRV;2.4;2020
HRV;2.5;2019
HTI;5.9;2018
HTI;5.9;2017
HTI;5.6;2016
HTI;7.2;2025
HTI;7;2024
HTI;6.8;2023
HTI;6.5;2022
HTI;6.3;2021
HTI;5.7;2020
HTI;6.1;2019
HUN;2.1;2018
HUN;2.3;2017
HUN;2.5;2016
HUN;2.3;2025
HUN;2.3;2024
HUN;2.2;2023
HUN;2;2022
HUN;2.1;2021
HUN;2.1;2020
HUN;2;2019
IDN;4.1;2018
IDN;4.2;2017
IDN;4.3;2016
IDN;4.5;2025
IDN;4.7;2024
IDN;4.5;2023
IDN;4.5;2022
IDN;4.4;2021
IDN;4.4;2020
IDN;4.2;2019
IND;6;2018
IND;6.2;2017
IND;6.2;2016
IND;5.5;2025
IND;5.5;2024
IND;5.5;2023
IND;5.6;2022
IND;5.6;2021
IND;5.7;2020
IND;5.8;2019
IRL;1.9;2018
IRL;1.8;2017
IRL;1.8;2016
IRL;2.1;2025
IRL;2.1;2024
IRL;2.1;2023
IRL;1.7;2022
IRL;1.8;2021
IRL;1.9;2020
IRL;1.8;2019
IRN;5.4;2018
IRN;5.4;2017
IRN;5.4;2016
IRN;5.9;2024
IRN;6;2025
IRN;6;2023
IRN;5.9;2022
IRN;5.8;2021
IRN;5.9;2020
IRN;5.5;2019
IRQ;6.4;2018
IRQ;6.5;2017
IRQ;6.6;2016
IRQ;5.8;2025
IRQ;6;2024
IRQ;6;2023
IRQ;6.3;2022
IRQ;6;2021
IRQ;6;2020
IRQ;6.2;2019
ISL;1.2;2018
ISL;1.2;2017
ISL;1.2;2016
ISL;1.7;2024
ISL;1.6;2025
ISL;1.5;2023
ISL;1.4;2022
ISL;1.3;2021
ISL;1.3;2020
ISL;1.3;2019
ISR;2.4;2018
ISR;2.4;2017
ISR;2.6;2016
ISR;3.2;2024
ISR;3.2;2025
ISR;2.4;2023
ISR;2.3;2022
ISR;2.4;2021
ISR;2.4;2020
ISR;2.4;2019
ITA;3;2018
ITA;3;2017
ITA;2.9;2016
ITA;3;2025
ITA;3;2024
ITA;3;2023
ITA;2.8;2022
ITA;2.8;2021
ITA;2.9;2020
ITA;3;2019
JAM;3.1;2018
JAM;3.3;2017
JAM;3.3;2016
JAM;3.1;2025
JAM;2.9;2024
JAM;2.9;2023
JAM;3;2022
JAM;2.9;2021
JAM;2.9;2020
JAM;2.9;2019
JOR;4;2018
JOR;4.2;2017
JOR;3.7;2016
JOR;4;2025
JOR;3.7;2024
JOR;3.8;2023
JOR;3.8;2022
JOR;3.9;2021
JOR;3.9;2020
JOR;4;2019
JPN;2.1;2018
JPN;2;2017
JPN;2;2016
JPN;2.1;2025
JPN;2;2024
JPN;2;2023
JPN;2;2022
JPN;2;2021
JPN;2.1;2020
JPN;2.1;2019
KAZ;2.4;2018
KAZ;2.5;2017
KAZ;2.4;2016
KAZ;2.7;2025
KAZ;2.7;2024
KAZ;2.5;2023
KAZ;2.4;2022
KAZ;2.4;2021
KAZ;2.4;2020
KAZ;2.4;2019
KEN;6.1;2018
KEN;6.2;2017
KEN;6.3;2016
KEN;6;2025
KEN;6;2024
KEN;5.9;2023
KEN;6.1;2022
KEN;6.2;2021
KEN;6;2020
KEN;6.1;2019
KGZ;3.4;2018
KGZ;3.5;2017
KGZ;3.7;2016
KGZ;3.6;2025
KGZ;3.7;2024
KGZ;3.7;2023
KGZ;3.2;2022
KGZ;3.2;2021
KGZ;3.2;2020
KGZ;3.1;2019
KHM;4.3;2018
KHM;4.5;2017
KHM;4.3;2016
KHM;4.5;2025
KHM;4.5;2024
KHM;4.5;2023
KHM;4.5;2022
KHM;4.6;2021
KHM;4.6;2020
KHM;4.5;2019
KIR;3.9;2018
KIR;4;2017
KIR;3.9;2016
KIR;3.6;2025
KIR;3.6;2024
KIR;3.5;2023
KIR;3.5;2022
KIR;3.5;2021
KIR;3.6;2020
KIR;3.8;2019
KNA;1.8;2018
KNA;1.7;2017
KNA;2.1;2016
KNA;1.8;2024
KNA;1.8;2025
KNA;1.9;2023
KNA;2;2022
KNA;1.8;2021
KNA;1.8;2020
KNA;1.8;2019
KOR;2;2018
KOR;2.1;2017
KOR;2;2016
KOR;2.1;2025
KOR;2;2024
KOR;1.9;2023
KOR;2;2022
KOR;2;2021
KOR;2.1;2020
KOR;2.1;2019
KWT;2.9;2018
KWT;3.1;2017
KWT;3.1;2016
KWT;2.7;2025
KWT;2.7;2024
KWT;2.8;2023
KWT;2.9;2022
KWT;2.9;2021
KWT;2.9;2020
KWT;2.9;2019
LAO;3.7;2018
LAO;3.9;2017
LAO;3.9;2016
LAO;3.6;2024
LAO;3.6;2025
LAO;3.6;2023
LAO;3.7;2022
LAO;3.8;2021
LAO;4.1;2020
LAO;4;2019
LBN;5.8;2018
LBN;5.7;2017
LBN;6;2016
LBN;6.6;2025
LBN;5.9;2024
LBN;5.2;2023
LBN;5.3;2022
LBN;5.3;2021
LBN;5;2020
LBN;5.2;2019
LBR;4.9;2018
LBR;4.9;2017
LBR;5;2016
LBR;4.9;2025
LBR;4.7;2024
LBR;4.7;2023
LBR;4.9;2022
LBR;4.9;2021
LBR;4.9;2020
LBR;4.8;2019
LBY;5.9;2018
LBY;6.1;2017
LBY;6.2;2016
LBY;4.9;2024
LBY;5;2025
LBY;5;2023
LBY;5.4;2022
LBY;6.2;2021
LBY;6.3;2020
LBY;6;2019
LCA;2.7;2018
LCA;2.9;2017
LCA;2.6;2016
LCA;2.6;2025
LCA;2.7;2024
LCA;2.7;2023
LCA;2.7;2022
LCA;2.6;2021
LCA;2.5;2020
LCA;2.5;2019
LIE;0.9;2018
LIE;0.9;2017
LIE;0.9;2016
LIE;1;2024
LIE;1;2025
LIE;1;2023
LIE;0.9;2022
LIE;0.9;2021
LIE;0.9;2020
LIE;0.9;2019
LKA;3.8;2018
LKA;3.9;2017
LKA;3.9;2016
LKA;3.6;2025
LKA;3.4;2024
LKA;3.4;2023
LKA;3.5;2022
LKA;3.7;2021
LKA;4;2020
LKA;3.7;2019
LSO;4;2018
LSO;3.9;2017
LSO;3.8;2016
LSO;4.3;2024
LSO;4.3;2025
LSO;4.2;2023
LSO;4.2;2022
LSO;4.2;2021
LSO;4.3;2020
LSO;4.1;2019
LTU;1.8;2018
LTU;1.9;2017
LTU;1.9;2016
LTU;2.1;2025
LTU;2.3;2024
LTU;2.3;2023
LTU;1.8;2022
LTU;1.8;2021
LTU;1.8;2020
LTU;1.8;2019
LUX;1;2018
LUX;1;2017
LUX;1;2016
LUX;1.1;2024
LUX;1;2025
LUX;1.2;2023
LUX;1;2022
LUX;1;2021
LUX;1;2020
LUX;1;2019
LVA;2.8;2018
LVA;2.8;2017
LVA;2.8;2016
LVA;2.6;2024
LVA;2.6;2025
LVA;2.6;2023
LVA;2.5;2022
LVA;2.7;2021
LVA;2.6;2020
LVA;2.6;2019
MAR;3.7;2018
MAR;3.7;2017
MAR;3.7;2016
MAR;3.7;2025
MAR;3.8;2024
MAR;3.9;2023
MAR;3.7;2022
MAR;3.5;2021
MAR;3.5;2020
MAR;3.6;2019
MDA;3.1;2018
MDA;3.2;2017
MDA;3.2;2016
MDA;3.6;2024
MDA;3.6;2025
MDA;3.6;2023
MDA;3;2022
MDA;3.1;2021
MDA;3;2020
MDA;3.1;2019
MDG;5.5;2018
MDG;5.3;2017
MDG;5.3;2016
MDG;5.4;2024
MDG;5.4;2025
MDG;5.4;2023
MDG;5.5;2022
MDG;5.7;2021
MDG;5.5;2020
MDG;5.4;2019
MDV;2.2;2018
MDV;2;2017
MDV;2.2;2016
MDV;2.2;2024
MDV;2.2;2025
MDV;2.2;2023
MDV;2.1;2022
MDV;2.3;2021
MDV;2.2;2020
MDV;2.2;2019
MEX;4.7;2018
MEX;4.6;2017
MEX;4.4;2016
MEX;4.9;2025
MEX;4.8;2024
MEX;4.8;2023
MEX;4.8;2022
MEX;4.9;2021
MEX;4.8;2020
MEX;4.7;2019
MHL;3.7;2018
MHL;3.6;2017
MHL;3.7;2016
MHL;3.7;2025
MHL;3.4;2024
MHL;3.5;2023
MHL;3.2;2022
MHL;3.2;2021
MHL;3.3;2020
MHL;3.4;2019
MKD;2.8;2018
MKD;2.8;2017
MKD;2.8;2016
MKD;2.8;2024
MKD;2.8;2025
MKD;2.7;2023
MKD;2.5;2022
MKD;2.4;2021
MKD;2.3;2020
MKD;2.5;2019
MLI;6.7;2018
MLI;6.7;2017
MLI;6.5;2016
MLI;7.2;2024
MLI;7.1;2025
MLI;7.2;2023
MLI;7.1;2022
MLI;7.1;2021
MLI;6.8;2020
MLI;6.7;2019
MLT;1.6;2018
MLT;1.6;2017
MLT;1.6;2016
MLT;1.7;2024
MLT;1.7;2025
MLT;1.7;2023
MLT;1.6;2022
MLT;1.6;2021
MLT;1.7;2020
MLT;1.6;2019
MMR;6.5;2018
MMR;6.6;2017
MMR;6.9;2016
MMR;7;2025
MMR;6.9;2024
MMR;6.8;2023
MMR;6.6;2022
MMR;6.2;2021
MMR;6.3;2020
MMR;6.3;2019
MNE;2.6;2018
MNE;2.6;2017
MNE;2.7;2016
MNE;2.6;2025
MNE;2.9;2024
MNE;2.7;2023
MNE;2.3;2022
MNE;2.4;2021
MNE;2.6;2020
MNE;2.6;2019
MNG;3.2;2018
MNG;3.2;2017
MNG;3.2;2016
MNG;2.9;2025
MNG;2.9;2024
MNG;2.6;2023
MNG;2.6;2022
MNG;2.8;2021
MNG;2.8;2020
MNG;3.1;2019
MOZ;6;2018
MOZ;6.3;2017
MOZ;5.6;2016
MOZ;7.1;2025
MOZ;7.1;2024
MOZ;7.2;2023
MOZ;7.2;2022
MOZ;7.2;2021
MOZ;6.9;2020
MOZ;6.4;2019
MRT;5.2;2018
MRT;4.9;2017
MRT;4.9;2016
MRT;5;2024
MRT;5.1;2025
MRT;5.1;2023
MRT;5.2;2022
MRT;5.3;2021
MRT;5.2;2020
MRT;5.2;2019
MUS;1.9;2018
MUS;1.9;2017
MUS;1.9;2016
MUS;2.2;2025
MUS;2;2024
MUS;2;2023
MUS;2;2022
MUS;1.9;2021
MUS;1.8;2020
MUS;1.9;2019
MWI;4.7;2018
MWI;4.8;2017
MWI;4.7;2016
MWI;4.9;2025
MWI;4.8;2024
MWI;4.8;2023
MWI;4.5;2022
MWI;4.6;2021
MWI;4.5;2020
MWI;4.6;2019
MYS;3.3;2018
MYS;3.4;2017
MYS;3.4;2016
MYS;3.3;2025
MYS;3.3;2024
MYS;3.3;2023
MYS;3.3;2022
MYS;3.3;2021
MYS;3.3;2020
MYS;3.3;2019
NAM;3.8;2018
NAM;3.9;2017
NAM;4;2016
NAM;4.1;2025
NAM;3.8;2024
NAM;3.8;2023
NAM;3.8;2022
NAM;3.9;2021
NAM;4.1;2020
NAM;4.1;2019
NER;7;2018
NER;7;2017
NER;7.1;2016
NER;7.8;2025
NER;7.6;2024
NER;7.7;2023
NER;7.4;2022
NER;7.6;2021
NER;7.1;2020
NER;7;2019
NGA;7.1;2018
NGA;7.1;2017
NGA;7.1;2016
NGA;7;2024
NGA;7;2025
NGA;7.2;2023
NGA;7;2022
NGA;7;2021
NGA;7;2020
NGA;7;2019
NIC;4.3;2018
NIC;4.3;2017
NIC;4.4;2016
NIC;4.9;2024
NIC;4.9;2025
NIC;4.8;2023
NIC;4.8;2022
NIC;4.9;2021
NIC;4.6;2020
NIC;4.4;2019
NLD;2.2;2018
NLD;2.2;2017
NLD;2.2;2016
NLD;2.5;2025
NLD;2.5;2024
NLD;2.5;2023
NLD;2.2;2022
NLD;2.2;2021
NLD;2.2;2020
NLD;2.2;2019
NOR;1.7;2018
NOR;1.7;2017
NOR;1.7;2016
NOR;1.9;2025
NOR;1.9;2024
NOR;1.8;2023
NOR;1.7;2022
NOR;1.7;2021
NOR;1.7;2020
NOR;1.7;2019
NPL;4.9;2018
NPL;5;2017
NPL;5;2016
NPL;4.6;2025
NPL;4.4;2024
NPL;4.3;2023
NPL;4.4;2022
NPL;4.5;2021
NPL;4.4;2020
NPL;4.6;2019
NRU;2.5;2018
NRU;2.5;2017
NRU;2.5;2016
NRU;2.2;2025
NRU;2.2;2024
NRU;2.2;2023
NRU;2.3;2022
NRU;2.3;2021
NRU;2.5;2020
NRU;2.4;2019
NZL;1.4;2018
NZL;1.4;2017
